1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1.9452,2.3262,0,0,0,0,0,0,0,0,0,1.483,1.1852,0,0,0,0,0,0,0,0
1.9956,2.5673,0,0,0,0,0,0,0,0,0,1.3787,0.99336,0,0,0,0,0,0,0,0
2.4028,2.7121,0,0,0,0,0,0,0,0,0,1.7307,1.1811,0,0,0,0,0,0,0,0
2.1465,2.4441,0,0,0,0,0,0,0,0,0,1.4542,1.0219,0,0,0,0,0,0,0,0
1.9857,1.8851,0,0,0,0,0,0,0,0,0,1.2953,0.82981,0,0,0,0,0,0,0,0
2.6882,2.6337,0,0,0,0,0,0,0,0,0,1.5246,0.87865,0,0,0,0,0,0,0,0
1.7042,1.8021,0,0,0,0,0,0,0,0,0,1.2047,1.1742,0,0,0,0,0,0,0,0
2.5173,2.7089,0,0,0,0,0,0,0,0,0,1.2742,1.2367,0,0,0,0,0,0,0,0
2.6424,2.9617,0,0,0,0,0,0,0,0,0,1.5271,1.3795,0,0,0,0,0,0,0,0
2.1679,2.679,0,0,0,0,0,0,0,0,0,1.4179,0.75155,0,0,0,0,0,0,0,0
1.6276,1.9141,0,0,0,0,0,0,0,0,0,1.3245,0.89726,0,0,0,0,0,0,0,0
1.9369,2.1263,0,0,0,0,0,0,0,0,0,1.6495,1.0964,0,0,0,0,0,0,0,0
1.5953,2.713,0,0,0,0,0,0,0,0,0,0.82584,0.72318,0,0,0,0,0,0,0,0
2.7637,2.3386,0,0,0,0,0,0,0,0,0,1.2458,0.7167,0,0,0,0,0,0,0,0
1.3624,1.5134,0,0,0,0,0,0,0,0,0,0.53026,0.63581,0,0,0,0,0,0,0,0
2.335,2.8661,0,0,0,0,0,0,0,0,0,1.1282,0.85663,0,0,0,0,0,0,0,0
1.8303,3.1862,0,0,0,0,0,0,0,0,0,0.59135,0.81824,0,0,0,0,0,0,0,0
2.647,3.3616,0,0,0,0,0,0,0,0,0,1.037,0.75327,0,0,0,0,0,0,0,0
1.5665,1.7891,0,0,0,0,0,0,0,0,0,0.42164,0.42982,0,0,0,0,0,0,0,0
2.6272,0,0,0,0,0,0,0,0,0,0,0.96256,0,0,0,0,0,0,0,0,0
1.9828,1.7584,0,0,0,0,0,0,0,0,0,0.92497,0.38015,0,0,0,0,0,0,0,0
1.4094,1.5852,0,0,0,0,0,0,0,0,0,0.43012,0.35827,0,0,0,0,0,0,0,0
2.2768,2.765,0,0,0,0,0,0,0,0,0,0.80552,0.9009,0,0,0,0,0,0,0,0
2.4407,2.7572,0,0,0,0,0,0,0,0,0,0.93004,0.70258,0,0,0,0,0,0,0,0
3.1425,2.3502,0,0,0,0,0,0,0,0,0,1.6182,0.61093,0,0,0,0,0,0,0,0
0,3.4076,0,0,0,0,0,0,0,0,0,0,0.64711,0,0,0,0,0,0,0,0
0,2.5775,0,0,0,0,0,0,0,0,0,0,0.83207,0,0,0,0,0,0,0,0
2.3744,2.1895,0,0,0,0,0,0,0,0,0,0.98937,0.50693,0,0,0,0,0,0,0,0
2.1886,2.087,0,0,0,0,0,0,0,0,0,1.2493,0.70165,0,0,0,0,0,0,0,0
2.1181,1.813,0,0,0,0,0,0,0,0,0,1.0141,0.48147,0,0,0,0,0,0,0,0
2.0741,2.6382,0,0,0,0,0,0,0,0,0,0.92626,0.95591,0,0,0,0,0,0,0,0
2.482,3.0085,0,0,0,0,0,0,0,0,0,1.2478,0.80641,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2913,3.4519,0,0,0,0,0,0,0,0,0,1.4807,0.89526,0,0,0,0,0,0,0,0
2.5698,0,0,0,0,0,0,0,0,0,0,1.1286,0,0,0,0,0,0,0,0,0
2.5967,2.4741,0,0,0,0,0,0,0,0,0,1.1758,0.57214,0,0,0,0,0,0,0,0
